league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Lady Grooms,,UTA,F,28,24.7,5.5,2.4,3.0,1.2,2.1,6.0,0.347,0.0,0.4,0.1,2.0,5.6,0.363,1.3,2.0,0.655,0.8,0.1,2.8,1.4,,,,,,1997,1.0,24
WNBA,WNBA,1997-98,1997,Tajama Abraham,,SAC,C,28,15.1,4.4,0.5,2.4,1.1,1.7,4.5,0.381,0.0,0.0,,1.7,4.5,0.381,0.9,1.4,0.684,0.4,0.4,1.8,2.5,,,,,,1997,1.0,5
WNBA,WNBA,1997-98,1997,Bridgette Gordon,,SAC,F,28,35.0,13.0,2.8,4.8,2.4,4.8,11.1,0.433,0.4,1.4,0.275,4.4,9.7,0.456,3.0,3.8,0.785,1.4,0.3,3.0,2.1,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Jennifer Gillom,,PHO,F-C,28,31.2,15.7,0.8,5.4,1.6,5.8,13.4,0.434,0.7,2.3,0.313,5.1,11.1,0.458,3.4,4.3,0.777,1.3,0.5,2.1,3.3,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Kim Gessig,,LAS,F,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,2.0,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Pietra Gay,,HOU,G-F,5,2.4,0.8,0.4,0.6,0.0,0.2,0.4,0.5,0.0,0.0,,0.2,0.4,0.5,0.4,1.0,0.4,0.2,0.0,0.8,0.6,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Travesa Gant,,LAS,C,2,6.5,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Toni Foster,,PHO,F-C,28,26.3,8.8,1.0,6.1,2.3,3.4,7.2,0.468,0.0,0.2,0.167,3.3,7.0,0.477,2.0,2.9,0.704,1.9,0.8,1.9,2.8,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Kisha Ford,,NYL,G-F,28,16.9,4.1,0.9,1.7,1.0,1.5,4.1,0.377,0.1,0.7,0.15,1.4,3.4,0.426,1.0,1.6,0.614,1.0,0.2,1.4,2.0,,,,,,1997,1.0,3
WNBA,WNBA,1997-98,1997,Isabelle Fijalkowski,,CLE,F-C,28,28.7,11.9,2.4,5.6,2.2,4.5,8.8,0.508,0.0,0.1,0.25,4.4,8.6,0.512,2.9,3.7,0.786,0.6,0.6,2.6,4.6,,,,,,1997,1.0,28
